"Item type","Authors","Editors","Title","Journal","Journal (full title)","Website name","Source","Publication year","Volume","Issue","Pages","Folders filed in","Labels filed in","Publisher","Publisher place","Date published","Date accessed","ISBN","ISSN","ISSN (alt.)","URLs","DOI","PMID","PMC ID","Abstract","Keywords","Copyright","Affiliation","Language","Subtype","Pages cited","Advisor","University","Department","Attachments","Level of thesis"
"Journal article","Sariipek N,van Galen P","","Insights into leukemia from single-cell genomics","Annu. Rev. Cancer Biol.","Annual Review of Cancer Biology","","","2025","9","1","267-284","My Papers","Highlight","Annual Reviews","","2025-04-11","2024-12-16","","2472-3428","","https://www.annualreviews.org/content/journals/10.1146/annurev-cancerbio-062024-060443;http://dx.doi.org/10.1146/annurev-cancerbio-062024-060443","10.1146/annurev-cancerbio-062024-060443","","","Despite its relatively recent emergence, single-cell sequencing has cemented its place in scientific research. It has grown exponentially in less than two decades since its start, with broad impact in the biological sciences. The blood represents an attractive system for early development and application of single-cell technologies. As a result, single-cell analyses in blood and leukemia have led the way in describing how cellular heterogeneity affects cancer progression. In this review, we discuss the technological and conceptual advances brought by single-cell genomics, ranging from genetic evolution and differentiation states that mediate drug resistance to the complex interactions required for immunotherapy responses. These high-resolution insights are starting to enter clinical assessment.","","","","en","","","","","","sariipek,van galen2025insights into leukemia from single-cell genomics - Annu Rev Cancer Biol.pdf",""
"Journal article","Rettkowski J,Romero-Mulero MC,Singh I,Wadle C,Wrobel J,Chiang D,Hoppe N,Mess J,Schönberger K,Lalioti ME,Jäcklein K,SilvaRego B,Bühler T,Karabacz N,Egg M,Demollin H,Obier N,Zhang YW,Jülicher C,Hetkamp A,Czerny M,Jones MJ,Seung H,Jain R,von Zur Mühlen C,Maier A,Lother A,Hilgendorf I,van Galen P,Kreso A,Westermann D,Rodriguez-Fraticelli AE,Heidt T,Cabezas-Wallscheid N","","Modulation of bone marrow haematopoietic stem cell activity as a therapeutic strategy after myocardial infarction: a preclinical study","Nat. Cell Biol.","Nature Cell Biology","","","2025","27","4","591-604","My Papers","AK 2023 - Feb 2026","Springer Science and Business Media LLC","","2025-04","2025-06-15","","1476-4679","1465-7392","https://www.nature.com/articles/s41556-025-01639-4;http://dx.doi.org/10.1038/s41556-025-01639-4;https://www.ncbi.nlm.nih.gov/pubmed/40175666;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11991920;https://scholar.google.com/citations?view_op=view_citation&hl=en&citation_for_view=_WUhKksAAAAJ:bEWYMUwI8FkC","10.1038/s41556-025-01639-4","40175666","PMC11991920","Myocardial infarction (MI) is a major global health concern. Although myeloid cells are crucial for tissue repair in emergency haematopoiesis after MI, excessive myelopoiesis can exacerbate scarring and impair cardiac function. Bone marrow (BM) haematopoietic stem cells (HSCs) have the unique capability to replenish the haematopoietic system, but their role in emergency haematopoiesis after MI has not yet been established. Here we collected human sternal BM samples from over 150 cardiac surgery patients, selecting 49 with preserved cardiac function. We show that MI causes detrimental transcriptional and functional changes in human BM HSCs. Lineage tracing experiments suggest that HSCs are contributors of pro-inflammatory myeloid cells infiltrating cardiac tissue after MI. Therapeutically, enforcing HSC quiescence with the vitamin A metabolite 4-oxo-retinoic acid dampens inflammatory myelopoiesis, thereby modulating tissue remodelling and preserving long-term cardiac function after MI.","","https://creativecommons.org/licenses/by/4.0","","en","Research Article","","","","","rettkowski,cabezas-wallscheid2025modulation of bone marrow haematopoieti ... egy after myocardial infarction - a preclinical study - Nat Cell Biol.pdf",""
"Journal article","Good JD,Safina KR,Miller TE,van Galen P","","Protocol for mitochondrial variant enrichment from single-cell RNA sequencing using MAESTER","STAR Protoc.","STAR Protocols","","","2025","6","1","103564","My Papers","Highlight","Elsevier BV","","2025-03-21","2025-01-15","","2666-1667","","http://dx.doi.org/10.1016/j.xpro.2024.103564;https://www.sciencedirect.com/science/article/pii/S2666166724007299;https://linkinghub.elsevier.com/retrieve/pii/S2666166724007299;https://www.ncbi.nlm.nih.gov/pubmed/39817913;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11786739","10.1016/j.xpro.2024.103564","39817913","PMC11786739","Single-cell RNA sequencing (scRNA-seq) enables detailed characterization of cell states but often lacks insights into tissue clonal structures. Here, we present a protocol to probe cell states and clonal information simultaneously by enriching mitochondrial DNA (mtDNA) variants from 3'-barcoded full-length cDNA. We describe steps for input library preparation, mtDNA enrichment, PCR product cleanup, and paired-end sequencing. We then detail computational steps for running maegatk, variant calling, and data integration to illuminate cell states and clonal dynamics in primary human tissues. For complete details on the use and execution of this protocol, please refer to Miller et al.1.","Genetics; RNA-seq; Sequence analysis; Single Cell","http://creativecommons.org/licenses/by-nc-nd/4.0/","","en","Research Article","","","","","good,van galen2025protocol for mitochondrial variant enrichment from single-cell rna sequencing using maester - STAR Protoc.pdf",""
"Journal article","Safina K,van Galen P","","New frameworks for hematopoiesis derived from single-cell genomics","Blood","Blood","","","2024","144","10","1039-1047","My Papers","Highlight","American Society of Hematology","","2024-09-05","2024-08-16","","1528-0020","0006-4971","https://ashpublications.org/blood/article/doi/10.1182/blood.2024024006/516934/New-frameworks-for-hematopoiesis-derived-from;https://ashpublications.org/blood/article/144/10/1039/516934/New-frameworks-for-hematopoiesis-derived-from;http://dx.doi.org/10.1182/blood.2024024006;https://www.ncbi.nlm.nih.gov/pubmed/38985829;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11561540","10.1182/blood.2024024006","38985829","PMC11561540","ABSTRACT: Recent advancements in single-cell genomics have enriched our understanding of hematopoiesis, providing intricate details about hematopoietic stem cell biology, differentiation, and lineage commitment. Technological advancements have highlighted extensive heterogeneity of cell populations and continuity of differentiation routes. Nevertheless, intermediate ""attractor"" states signify structure in stem and progenitor populations that link state transition dynamics to fate potential. We discuss how innovative model systems quantify lineage bias and how stress accelerates differentiation, thereby reducing fate plasticity compared with native hematopoiesis. We conclude by offering our perspective on the current model of hematopoiesis and discuss how a more precise understanding can translate to strategies that extend healthy hematopoiesis and prevent disease.","","","","en","Review","","","","","safina,van galen2024new frameworks for hematopoiesis derived from single-cell genomics - Blood.pdf",""
"Journal article","Heimlich JB,Bhat P,Parker AC,Jenkins MT,Vlasschaert C,Ulloa J,Van Amburg JC,Potts CR,Olson S,Silver AJ,Ahmad A,Sharber B,Brown D,Hu N,van Galen P,Savona MR,Bick AG,Ferrell PB","","Multiomic profiling of human clonal hematopoiesis reveals genotype and cell-specific inflammatory pathway activation","Blood Adv.","Blood Advances","","","2024","8","14","3665-3678","My Papers","","American Society of Hematology","","2024-07-23","2024-06-25","","2473-9529","2473-9537","https://ashpublications.org/bloodadvances/article-pdf/doi/10.1182/bloodadvances.2023011445/2218801/bloodadvances.2023011445.pdf;https://dx.doi.org/10.1182/bloodadvances.2023011445;https://ashpublications.org/bloodadvances/article/doi/10.1182/bloodadvances.2023011445/515374/Multiomic-Profiling-of-Human-Clonal-Hematopoiesis;https://www.ncbi.nlm.nih.gov/pubmed/38507736;https://ashpublications.org/bloodadvances/article/8/14/3665/515374/Multiomic-profiling-of-human-clonal-hematopoiesis;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11284682;http://dx.doi.org/10.1182/bloodadvances.2023011445","10.1182/bloodadvances.2023011445","38507736","PMC11284682","ABSTRACT: Clonal hematopoiesis (CH) is an age-associated phenomenon that increases the risk of hematologic malignancy and cardiovascular disease. CH is thought to enhance disease risk through inflammation in the peripheral blood.1 Here, we profile peripheral blood gene expression in 66 968 single cells from a cohort of 17 patients with CH and 7 controls. Using a novel mitochondrial DNA barcoding approach, we were able to identify and separately compare mutant Tet methylcytosine dioxygenase 2 (TET2) and DNA methyltransferase 3A (DNMT3A) cells with nonmutant counterparts. We discovered the vast majority of mutated cells were in the myeloid compartment. Additionally, patients harboring DNMT3A and TET2 CH mutations possessed a proinflammatory profile in CD14+ monocytes through previously unrecognized pathways such as galectin and macrophage inhibitory factor. We also found that T cells from patients with CH, although mostly unmutated, had decreased expression of GTPase of the immunity associated protein genes, which are critical to T-cell development, suggesting that CH impairs T-cell function.","","https://creativecommons.org/licenses/by-nc-nd/4.0/","","en","Research Article","","","","","heimlich,ferrell2024multiomic profiling of human clonal hematopoiesis re ... enotype and cell-specific inflammatory pathway activation - Blood Adv.pdf",""
"Journal article","Talvard-Balland N,Braun LM,Dixon KO,Zwick M,Engel H,Hartmann A,Duquesne S,Penter L,Andrieux G,Rindlisbacher L,Acerbis A,Ehmann J,Köllerer C,Ansuinelli M,Rettig A,Moschallski K,Apostolova P,Brummer T,Illert AL,Schramm MA,Cheng Y,Köttgen A,Duyster J,Menssen HD,Ritz J,Blazar BR,Boerries M,Schmitt-Gräff A,Sariipek N,Van Galen P,Buescher JM,Cabezas-Wallscheid N,Pahl HL,Pearce EL,Soiffer RJ,Wu CJ,Vago L,Becher B,Köhler N,Wertheimer T,Kuchroo VK,Zeiser R","","Oncogene-induced TIM-3 ligand expression dictates susceptibility to anti-TIM-3 therapy in mice","J. Clin. Invest.","The Journal of Clinical Investigation","","","2024","134","16","","My Papers","","American Society for Clinical Investigation","","2024-06-25","2024-06-28","","1558-8238","0021-9738","https://pubmed.ncbi.nlm.nih.gov/38916965/;http://dx.doi.org/10.1172/JCI177460;https://www.ncbi.nlm.nih.gov/pubmed/38916965;https://www.jci.org/articles/view/177460;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11324309","10.1172/JCI177460","38916965","PMC11324309","Leukemia relapse is a major cause of death after allogeneic hematopoietic cell transplantation (allo-HCT). We tested the potential of targeting T cell (Tc) immunoglobulin and mucin-containing molecule 3 (TIM-3) for improving graft-versus-leukemia (GVL) effects. We observed differential expression of TIM-3 ligands when hematopoietic stem cells overexpressed certain oncogenic-driver mutations. Anti-TIM-3 Ab treatment improved survival of mice bearing leukemia with oncogene-induced TIM-3 ligand expression. Conversely, leukemia cells with low ligand expression were anti-TIM-3 treatment resistant. In vitro, TIM-3 blockade or genetic deletion in CD8+ Tc enhanced Tc activation, proliferation, and IFN-γ production while enhancing GVL effects, preventing Tc exhaustion, and improving Tc cytotoxicity and glycolysis in vivo. Conversely, TIM-3 deletion in myeloid cells did not affect allogeneic Tc proliferation and activation in vitro, suggesting that anti-TIM-3 treatment-mediated GVL effects are Tc induced. In contrast to anti-programmed cell death protein 1 (anti-PD-1) and anti-cytotoxic T lymphocyte-associated protein 4 (anti-CTLA-4) treatment, anti-TIM-3-treatment did not enhance acute graft-versus-host disease (aGVHD). TIM-3 and its ligands were frequently expressed in acute myeloid leukemia (AML) cells of patients with post-allo-HCT relapse. We decipher the connections between oncogenic mutations found in AML and TIM-3 ligand expression and identify anti-TIM-3 treatment as a strategy for enhancing GVL effects via metabolic and transcriptional Tc reprogramming without exacerbation of aGVHD. Our findings support clinical testing of anti-TIM-3 Ab in patients with AML relapse after allo-HCT.","Bone marrow transplantation; Transplantation","http://creativecommons.org/licenses/by/4.0/","","en","Research Article","","","","","talvard-balland,zeiser2024oncogene-induced tim-3 ligand expression dictates susceptibility to anti-tim-3 therapy in mice - J Clin Invest.pdf",""
"Journal article","Luo Q,Raulston EG,Prado MA,Wu X,Gritsman K,Whalen KS,Yan K,Booth CAG,Xu R,van Galen P,Doench JG,Shimony S,Long HW,Neuberg DS,Paulo JA,Lane AA","","Targetable leukaemia dependency on noncanonical PI3Kγ signalling","Nature","Nature","","","2024","630","8015","198-205","My Papers","","Springer Science and Business Media LLC","","2024-06-08","","","0028-0836","1476-4687","http://dx.doi.org/10.1038/s41586-024-07410-3;https://www.ncbi.nlm.nih.gov/pubmed/38720074;https://www.ncbi.nlm.nih.gov/pmc/articles/5634331;https://www.nature.com/articles/s41586-024-07410-3;https://www.nature.com/articles/s41586-024-07410-3.pdf;https://www.nature.com/articles/s41586-024-07410-3.epdf?sharing_token=dPZ1CZUowKng_h42kkZ-o9RgN0jAjWel9jnR3ZoTv0OjTWAMPrfAbg49CYdUf2BIASdd4ub1Sbnq6e91y_okC3ymG51ekIWmlclRrIGaMfcSmkXJRKeJ1PO-Y57eQ1ZsAPyjphPvI3e_0fyYvVhnxAGmXE-x9VADMFdqkOzjxq8%3D","10.1038/s41586-024-07410-3","38720074","5634331","Phosphoinositide-3-kinase-γ (PI3Kγ) is implicated as a target to repolarize tumour-associated macrophages and promote antitumour immune responses in solid cancers1-4. However, cancer cell-intrinsic roles of PI3Kγ are unclear. Here, by integrating unbiased genome-wide CRISPR interference screening with functional analyses across acute leukaemias, we define a selective dependency on the PI3Kγ complex in a high-risk subset that includes myeloid, lymphoid and dendritic lineages. This dependency is characterized by innate inflammatory signalling and activation of phosphoinositide 3-kinase regulatory subunit 5 (PIK3R5), which encodes a regulatory subunit of PI3Kγ5 and stabilizes the active enzymatic complex. We identify p21 (RAC1)-activated kinase 1 (PAK1) as a noncanonical substrate of PI3Kγ that mediates this cell-intrinsic dependency and find that dephosphorylation of PAK1 by PI3Kγ inhibition impairs mitochondrial oxidative phosphorylation. Treatment with the selective PI3Kγ inhibitor eganelisib is effective in leukaemias with activated PIK3R5. In addition, the combination of eganelisib and cytarabine prolongs survival over either agent alone, even in patient-derived leukaemia xenografts with low baseline PIK3R5 expression, as residual leukaemia cells after cytarabine treatment have elevated G protein-coupled purinergic receptor activity and PAK1 phosphorylation. Together, our study reveals a targetable dependency on PI3Kγ-PAK1 signalling that is amenable to near-term evaluation in patients with acute leukaemia.","","https://www.springernature.com/gp/researchers/text-and-data-mining","Department of Medical Oncology, Dana-Farber Cancer Institute, Harvard Medical School, Boston, MA, USA. Instituto de Investigación Sanitaria del Principado de Asturias (ISPA), Oviedo, Spain. Department of Cell Biology, Harvard Medical School, Boston, MA, USA. Department of Cancer Biology, Dana-Farber Cancer Institute, Boston, MA, USA. Department of Genetics, Blavatnik Institute, Harvard Medical School, Boston, MA, USA. Department of Medical Oncology, Albert Einstein College of Medicine, Bronx, NY, USA. Department of Cell Biology, Albert Einstein College of Medicine, Bronx, NY, USA. Division of Hematology, Brigham and Women's Hospital, Boston, MA, USA. Genetic Perturbation Platform, Broad Institute of MIT and Harvard, Cambridge, MA, USA. Department of Hematology, Rabin Medical Center, Tel Aviv Faculty of Medicine, Tel Aviv, Israel. Center for Functional Cancer Epigenetics, Dana-Farber Cancer Institute, Boston, MA, USA. Department of Data Science, Dana-Farber Cancer Institute, Boston, MA, USA. Department of Medical Oncology, Dana-Farber Cancer Institute, Harvard Medical School, Boston, MA, USA. andrew_lane@dfci.harvard.edu.","en","Research Article","","","","","luo,lane2024targetable leukaemia dependency on noncanonical pi3kγ signalling - Nature.pdf",""
"Journal article","Spasic M,Ogayo ER,Parsons AM,Mittendorf EA,van Galen P,McAllister SS","","Spectral flow cytometry methods and pipelines for comprehensive immunoprofiling of human peripheral blood and bone marrow","Cancer Res. Commun.","Cancer Research Communications","","","2024","4","3","895-910","My Papers","Highlight","American Association for Cancer Research (AACR)","","2024-03-25","2024-03-12","","2767-9764","","https://aacrjournals.org/cancerrescommun/article/doi/10.1158/2767-9764.CRC-23-0357/735108/Spectral-Flow-Cytometry-Methods-and-Pipelines-for;https://aacrjournals.org/cancerrescommun/article-pdf/doi/10.1158/2767-9764.CRC-23-0357/3422588/crc-23-0357.pdf;http://dx.doi.org/10.1158/2767-9764.crc-23-0357;https://aacrjournals.org/cancerrescommun/article/4/3/895/741931/Spectral-Flow-Cytometry-Methods-and-Pipelines-for;https://www.ncbi.nlm.nih.gov/pubmed/38466569;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10962315;http://dx.doi.org/10.1158/2767-9764.CRC-23-0357","10.1158/2767-9764.CRC-23-0357","38466569","PMC10962315","Profiling hematopoietic and immune cells provides important information about disease risk, disease status, and therapeutic responses. Spectral flow cytometry enables high-dimensional single-cell evaluation of large cohorts in a high-throughput manner. Here, we designed, optimized, and implemented new methods for deep immunophenotyping of human peripheral blood and bone marrow by spectral flow cytometry. Two blood antibody panels capture 48 cell-surface markers to assess more than 58 cell phenotypes, including subsets of T cells, B cells, monocytes, natural killer (NK) cells, and dendritic cells, and their respective markers of exhaustion, activation, and differentiation in less than 2 mL of blood. A bone marrow antibody panel captures 32 markers for 35 cell phenotypes, including stem/progenitor populations, T-cell subsets, dendritic cells, NK cells, and myeloid cells in a single tube. We adapted and developed innovative flow cytometric analysis algorithms, originally developed for single-cell genomics, to improve data integration and visualization. We also highlight technical considerations for users to ensure data fidelity. Our protocol and analysis pipeline accurately identifies rare cell types, discerns differences in cell abundance and phenotype across donors, and shows concordant immune landscape trends in patients with known hematologic malignancy. SIGNIFICANCE: This study introduces optimized methods and analysis algorithms that enhance capabilities in comprehensive immunophenotyping of human blood and bone marrow using spectral flow cytometry. This approach facilitates detection of rare cell types, enables measurement of cell variations across donors, and provides proof-of-concept in identifying known hematologic malignancies. By unlocking complexities of hematopoietic and immune landscapes at the single-cell level, this advancement holds potential for understanding disease states and therapeutic responses.","","https://creativecommons.org/licenses/by/4.0/","Brigham and Women's Hospital, Boston, MA, United States; Dana-Farber Cancer Institute, United States; Brigham and Women's Hospital, United States; Harvard Medical School, Boston, MA, United States","en","Research Article","","","","","spasic,mcallister2024spectral flow cytometry methods and pipelines for c ... ofiling of human peripheral blood and bone marrow - Cancer Res Commun.pdf",""
"Journal article","Weng C,Yu F,Yang D,Poeschla M,Liggett LA,Jones MG,Qiu X,Wahlster L,Caulier A,Hussmann JA,Schnell A,Yost KE,Koblan LW,Martin-Rufino JD,Min J,Hammond A,Ssozi D,Bueno R,Mallidi H,Kreso A,Escabi J,Rideout 3rd WM,Jacks T,Hormoz S,van Galen P,Weissman JS,Sankaran VG","","Deciphering cell states and genealogies of human haematopoiesis","Nature","Nature","","","2024","627","8003","389-398","My Papers","AK 2023 - Feb 2026","Springer Science and Business Media LLC","","2024-03-22","","","0028-0836","1476-4687","https://www.nature.com/articles/s41586-024-07066-z;https://www.nature.com/articles/s41586-024-07066-z.pdf;http://dx.doi.org/10.1038/s41586-024-07066-z;https://www.ncbi.nlm.nih.gov/pubmed/38253266;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10937407;https://scholar.google.com/citations?view_op=view_citation&hl=en&citation_for_view=_WUhKksAAAAJ:mVmsd5A6BfQC","10.1038/s41586-024-07066-z","38253266","PMC10937407","The human blood system is maintained through the differentiation and massive amplification of a limited number of long-lived haematopoietic stem cells (HSCs)1. Perturbations to this process underlie diverse diseases, but the clonal contributions to human haematopoiesis and how this changes with age remain incompletely understood. Although recent insights have emerged from barcoding studies in model systems2-5, simultaneous detection of cell states and phylogenies from natural barcodes in humans remains challenging. Here we introduce an improved, single-cell lineage-tracing system based on deep detection of naturally occurring mitochondrial DNA mutations with simultaneous readout of transcriptional states and chromatin accessibility. We use this system to define the clonal architecture of HSCs and map the physiological state and output of clones. We uncover functional heterogeneity in HSC clones, which is stable over months and manifests as both differences in total HSC output and biases towards the production of different mature cell types. We also find that the diversity of HSC clones decreases markedly with age, leading to an oligoclonal structure with multiple distinct clonal expansions. Our study thus provides a clonally resolved and cell-state-aware atlas of human haematopoiesis at single-cell resolution, showing an unappreciated functional diversity of human HSC clones and, more broadly, paving the way for refined studies of clonal dynamics across a range of tissues in human health and disease.","","https://creativecommons.org/licenses/by/4.0","","en","Research Article","","","","","weng,sankaran2024 - Supplement.pdf;weng,sankaran2024deciphering cell states and genealogies of human haematopoiesis - Nature.pdf",""
"Journal article","Griffin GK,Booth CAG,Togami K,Chung SS,Ssozi D,Verga JA,Bouyssou JM,Lee YS,Shanmugam V,Hornick JL,LeBoeuf NR,Morgan EA,Bernstein BE,Hovestadt V,van Galen P,Lane AA","","Ultraviolet radiation shapes dendritic cell leukaemia transformation in the skin","Nature","Nature","","","2023","618","7966","834-841","My Papers","Highlight","Springer Science and Business Media LLC","","2023-06-07","2023-06-07","","0028-0836","1476-4687","http://dx.doi.org/10.1038/s41586-023-06156-8;https://www.ncbi.nlm.nih.gov/pubmed/37286599;https://www.ncbi.nlm.nih.gov/pmc/articles/4306669;https://www.nature.com/articles/s41586-023-06156-8;https://www.nature.com/articles/s41586-023-06156-8.pdf;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10284703","10.1038/s41586-023-06156-8","37286599","PMC10284703","Tumours most often arise from progression of precursor clones within a single anatomical niche. In the bone marrow, clonal progenitors can undergo malignant transformation to acute leukaemia, or differentiate into immune cells that contribute to disease pathology in peripheral tissues1-4. Outside the marrow, these clones are potentially exposed to a variety of tissue-specific mutational processes, although the consequences of this are unclear. Here we investigate the development of blastic plasmacytoid dendritic cell neoplasm (BPDCN)-an unusual form of acute leukaemia that often presents with malignant cells isolated to the skin5. Using tumour phylogenomics and single-cell transcriptomics with genotyping, we find that BPDCN arises from clonal (premalignant) haematopoietic precursors in the bone marrow. We observe that BPDCN skin tumours first develop at sun-exposed anatomical sites and are distinguished by clonally expanded mutations induced by ultraviolet (UV) radiation. A reconstruction of tumour phylogenies reveals that UV damage can precede the acquisition of alterations associated with malignant transformation, implicating sun exposure of plasmacytoid dendritic cells or committed precursors during BPDCN pathogenesis. Functionally, we find that loss-of-function mutations in Tet2, the most common premalignant alteration in BPDCN, confer resistance to UV-induced cell death in plasmacytoid, but not conventional, dendritic cells, suggesting a context-dependent tumour-suppressive role for TET2. These findings demonstrate how tissue-specific environmental exposures at distant anatomical sites can shape the evolution of premalignant clones to disseminated cancer.","","https://creativecommons.org/licenses/by/4.0","Department of Pathology, Dana-Farber Cancer Institute, Boston, MA, USA. gabriel_griffin@dfci.harvard.edu. Broad Institute of MIT and Harvard, Cambridge, MA, USA. gabriel_griffin@dfci.harvard.edu. Department of Pathology, Brigham and Women's Hospital, Boston, MA, USA. gabriel_griffin@dfci.harvard.edu. Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA. Broad Institute of MIT and Harvard, Cambridge, MA, USA. Division of Hematology, Brigham and Women's Hospital, Boston, MA, USA. Department of Cancer Biology, Dana-Farber Cancer Institute, Boston, MA, USA. Department of Pathology, Brigham and Women's Hospital, Boston, MA, USA. Department of Dermatology, Center for Cutaneous Oncology, Dana-Farber Cancer Institute and Brigham and Women's Hospital, Boston, MA, USA. Department of Cell Biology, Harvard Medical School, Boston, MA, USA. Ludwig Center at Harvard, Harvard Medical School, Boston, MA, USA. Broad Institute of MIT and Harvard, Cambridge, MA, USA. volker_hovestadt@dfci.harvard.edu. Department of Pediatric Oncology, Dana-Farber Cancer Institute, Boston, MA, USA. volker_hovestadt@dfci.harvard.edu. Division of Hematology/Oncology, Boston Children's Hospital, Boston, MA, USA. volker_hovestadt@dfci.harvard.edu. Broad Institute of MIT and Harvard, Cambridge, MA, USA. pvangalen@bwh.harvard.edu. Division of Hematology, Brigham and Women's Hospital, Boston, MA, USA. pvangalen@bwh.harvard.edu. Ludwig Center at Harvard, Harvard Medical School, Boston, MA, USA. pvangalen@bwh.harvard.edu. Broad Institute of MIT and Harvard, Cambridge, MA, USA. andrew_lane@dfci.harvard.edu. Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA. andrew_lane@dfci.harvard.edu. Ludwig Center at Harvard, Harvard Medical School, Boston, MA, USA. andrew_lane@dfci.harvard.edu.","en","Research Article","","","","","griffin,lane2023ultraviolet radiation shapes dendritic cell leukaemia transformation in the skin - Nature.pdf",""
"Journal article","Lee YS,van Galen P","","Mutation signatures reveal clonal evolution","Blood","Blood","","","2023","141","19","2292-2293","My Papers","","","","2023-05-11","","","0006-4971","1528-0020","http://dx.doi.org/10.1182/blood.2022019510;https://www.ncbi.nlm.nih.gov/pubmed/37166926;https://pubmed.ncbi.nlm.nih.gov/37166926;https://ashpublications.org/blood/article/141/19/2292/495576/Mutation-signatures-reveal-clonal-evolution","10.1182/blood.2022019510","37166926","","","","","Brigham and Women's Hospital.","en","Commentary","","","","","lee,van galen2023mutation signatures reveal clonal evolution - Blood.pdf",""
"Journal article","Jutzi JS,Marneth AE,Jiménez-Santos MJ,Hem J,Guerra-Moreno A,Rolles B,Bhatt S,Myers SA,Carr SA,Hong Y,Pozdnyakova O,van Galen P,Al-Shahrour F,Nam AS,Mullally A","","CALR-mutated cells are vulnerable to combined inhibition of the proteasome and the endoplasmic reticulum stress response","Leukemia","Leukemia","","","2023","37","2","359-369","My Papers","","Springer Science and Business Media LLC","","2023-02","","","0887-6924","1476-5551","http://dx.doi.org/10.1038/s41375-022-01781-0;https://www.ncbi.nlm.nih.gov/pubmed/36473980;https://www.nature.com/articles/s41375-022-01781-0;https://www.nature.com/articles/s41375-022-01781-0.pdf;https://www.nature.com/articles/s41375-022-01781-0?utm_source=leu_etoc&utm_medium=email&utm_campaign=toc_41375_37_2&utm_content=20230204;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413246","10.1038/s41375-022-01781-0","36473980","PMC12413246","Cancer is driven by somatic mutations that provide a fitness advantage. While targeted therapies often focus on the mutated gene or its direct downstream effectors, imbalances brought on by cell-state alterations may also confer unique vulnerabilities. In myeloproliferative neoplasms (MPN), somatic mutations in the calreticulin (CALR) gene are disease-initiating through aberrant binding of mutant CALR to the thrombopoietin receptor MPL and ligand-independent activation of JAK-STAT signaling. Despite these mechanistic insights into the pathogenesis of CALR-mutant MPN, there are currently no mutant CALR-selective therapies available. Here, we identified differential upregulation of unfolded proteins, the proteasome and the ER stress response in CALR-mutant hematopoietic stem cells (HSCs) and megakaryocyte progenitors. We further found that combined pharmacological inhibition of the proteasome and IRE1-XBP1 axis of the ER stress response preferentially targets Calr-mutated HSCs and megakaryocytic-lineage cells over wild-type cells in vivo, resulting in an amelioration of the MPN phenotype. In serial transplantation assays following combined proteasome/IRE1 inhibition for six weeks, we did not find preferential depletion of Calr-mutant long-term HSCs. Together, these findings leverage altered proteostasis in Calr-mutant MPN to identify combinatorial dependencies that may be targeted for therapeutic benefit and suggest that eradicating disease-propagating Calr-mutant LT-HSCs may require more sustained treatment.","","https://www.springernature.com/gp/researchers/text-and-data-mining","Division of Hematology, Department of Medicine, Brigham and Women's Hospital, Harvard Medical School, Boston, MA, USA. Bioinformatics Unit, Structural Biology Programme, Spanish National Cancer Research Centre (CNIO), Madrid, Spain. Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA. Department of Pharmacy, National University of Singapore, Singapore, Singapore. Center for Autoimmunity and Inflammation, La Jolla Institute for Immunology, La Jolla, CA, 92037, USA. The Broad Institute of MIT and Harvard, Cambridge, MA, USA. Department of Chemistry and Physics, La Trobe Institute for Molecular Science, La Trobe University, Melbourne, VIC, 3083, Australia. Department of Pathology, Brigham and Women's Hospital, Harvard Medical School, Boston, MA, USA. Weill Cornell Medicine, New York City, N.Y., USA. Division of Hematology, Department of Medicine, Brigham and Women's Hospital, Harvard Medical School, Boston, MA, USA. ann_mullally@dfci.harvard.edu. Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA. ann_mullally@dfci.harvard.edu. The Broad Institute of MIT and Harvard, Cambridge, MA, USA. ann_mullally@dfci.harvard.edu.","en","Research Article","","","","","jutzi,mullally2023calr-mutated cells are vulnerable to combined inhibiti ... e proteasome and the endoplasmic reticulum stress response - Leukemia.pdf",""
